"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Andres Gimenez","CLE","68","210","5","23","16","11","5.2%","25.7%",".133",".273",".218",".282",".351",".277",".269","73","2.6","-4.2","4.7","0.8","19950"
"Niko Goodrum","DET","90","325","9","39","33","14","8.9%","32.9%",".145",".301",".214",".292",".359",".286",".304","79","0.3","-8.0","3.4","0.6","12092"
"Ronald Torreyes","PHI","112","344","7","30","41","2","5.5%","11.9%",".104",".258",".242",".286",".346",".274",".256","68","1.3","-12.7","7.5","0.6","11400"
"Tyler Wade","NYY","103","145","0","31","5","17","11.0%","25.5%",".055",".378",".268",".354",".323",".304",".254","92","2.8","1.5","-0.2","0.6","15730"
"Ha-seong Kim","SDP","117","298","8","27","34","6","7.4%","23.8%",".150",".241",".202",".270",".352",".270",".265","70","1.4","-9.9","4.7","0.5","27506"
"Taylor Walls","TBR","54","176","1","15","15","4","13.1%","27.8%",".086",".304",".211",".314",".296",".279",".284","80","0.0","-4.3","2.1","0.4","22458"
"Jorge Mateo","- - -","89","209","4","19","14","10","4.3%","26.3%",".129",".324",".247",".293",".376",".291",".287","83","1.9","-2.8","-1.1","0.3","17273"
"Nick Maton","PHI","52","131","2","16","14","2","7.6%","29.8%",".128",".364",".256",".323",".385",".309",".281","91","1.6","0.1","-1.8","0.3","21635"
"Mauricio Dubon","SFG","74","187","5","20","22","2","4.8%","21.9%",".137",".282",".240",".278",".377",".278",".273","75","-1.5","-7.6","2.4","0.1","16530"
"Kevin Newman","PIT","148","554","5","50","39","6","4.9%","7.4%",".083",".236",".226",".265",".309",".249",".275","54","5.1","-27.4","8.3","-0.1","17696"
"Danny Mendick","CHW","71","186","2","14","20","0","9.7%","22.6%",".067",".281",".220",".303",".287",".268",".260","68","0.9","-6.3","-1.3","-0.1","18889"
"Cole Tucker","PIT","43","131","2","15","12","2","9.9%","25.2%",".120",".289",".222",".298",".342",".282",".274","75","-0.7","-4.9","-3.3","-0.4","17326"
"Erik Gonzalez","PIT","71","229","2","17","21","2","3.5%","17.5%",".068",".274",".232",".258",".300",".244",".277","50","-1.9","-16.4","2.2","-0.7","13369"
"Harold Castro","DET","106","339","3","35","37","1","4.1%","21.2%",".076",".351",".283",".310",".359",".291",".315","83","-0.5","-7.8","-10.3","-0.7","14691"
"Richie Martin","BAL","37","105","1","9","8","0","3.8%","26.7%",".051",".314",".235",".269",".286",".246",".238","51","-1.7","-8.1","-3.5","-0.8","17736"
"Didi Gregorius","PHI","103","408","13","35","54","3","6.1%","16.4%",".160",".217",".209",".270",".370",".275",".275","68","1.5","-14.9","-7.5","-0.9","6012"
"Luis Rengifo","LAA","54","190","6","22","18","1","4.7%","20.0%",".109",".220",".201",".246",".310",".244",".293","50","1.1","-10.5","-5.4","-0.9","19858"
"Robel Garcia","HOU","47","117","1","8","8","0","6.8%","35.9%",".057",".234",".151",".216",".208",".194",".224","20","-0.4","-11.8","-1.5","-0.9","13167"
"Zack Short","DET","61","184","6","21","20","2","12.0%","32.1%",".141",".165",".141",".239",".282",".230",".242","41","0.1","-13.1","-3.5","-1.0","19562"
