"","last_name","first_name","player_id","team_id","team","position","age","competitive_runs","hp_to_1b","sprint_speed","display_team_name","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","Name","Team.x","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BB%.x","K%.x","ISO.x","BABIP.x","AVG.x","OBP.x","SLG.x","wOBA.x","xwOBA.x","wRC+.x","BsR.x","Off.x","Def.x","WAR.x","playerid.x","Team.y","G.y","PA.y","HR.y","R.y","RBI.y","SB.y","BB%.y","K%.y","ISO.y","BABIP.y","AVG.y","OBP.y","SLG.y","wOBA.y","xwOBA.y","wRC+.y","BsR.y","Off.y","Def.y","WAR.y","playerid.y"
"11","Anderson","Tim",641313,145,"CWS","SS",28,233,4.32,28,"White Sox","SS",0,0,0,1,-2,1,0,0,"73%","73%","0%",409,4.3,32.5,110.2,89.6,94.8,86.3,417,141,389,171,42.3,32,7.8,5.8,2021,551,409,0.309,0.284,0.025,0.469,0.448,0.021,0.345,0.329,0.016,"Tim Anderson","CHW",123,551,17,94,61,18,4,21.6,0.159,0.372,0.309,0.338,0.469,0.345,0.329,120,6.1,19.5,8.9,4.7,15172,"CHW",123,551,17,94,61,18,4,21.6,0.159,0.372,0.309,0.338,0.469,0.345,0.329,120,6.1,19.5,8.9,4.7,15172
"12","Adames","Willy",642715,158,"MIL","SS",25,172,4.4,28,"---","SS",-5,-6,-1,1,-7,1,-2,-4,"75%","77%","-2%",342,16.8,35.1,112.5,89.5,94.4,83,446,189,397,153,44.7,39,11.4,7,2021,555,342,0.262,0.236,0.026,0.481,0.438,0.043,0.349,0.325,0.024,"Willy Adames","- - -",140,555,25,77,73,5,10.3,28.1,0.219,0.331,0.262,0.337,0.481,0.349,0.325,119,0.2,13.8,-0.1,3.2,15986,"- - -",140,555,25,77,73,5,10.3,28.1,0.219,0.331,0.262,0.337,0.481,0.349,0.325,119,0.2,13.8,-0.1,3.2,15986
"13","Ahmed","Nick",605113,109,"ARI","SS",31,170,4.46,27.8,"D-backs","SS",12,16,12,3,2,-1,14,2,"74%","70%","4%",333,10.1,27.6,109.5,87.2,90.5,85.8,419,145,399,93,27.9,8,2.4,1.7,2021,473,333,0.221,0.208,0.013,0.339,0.29,0.049,0.269,0.249,0.02,"Nick Ahmed","ARI",129,473,5,46,38,7,7.2,22,0.118,0.279,0.221,0.28,0.339,0.269,0.249,64,0.6,-21.1,18.4,1.3,12147,"ARI",129,473,5,46,38,7,7.2,22,0.118,0.279,0.221,0.28,0.339,0.269,0.249,64,0.6,-21.1,18.4,1.3,12147
"14","Lindor","Francisco",596019,121,"NYM","SS",27,154,4.37,27.8,"Mets","SS",12,16,7,6,2,2,12,4,"78%","73%","5%",365,14.4,35.3,112.9,90.7,94,88.3,436,172,396,161,44.1,30,8.2,5.7,2021,524,365,0.23,0.254,-0.024,0.412,0.453,-0.041,0.317,0.345,-0.028,"Francisco Lindor","NYM",125,524,20,73,63,10,11.1,18.3,0.181,0.248,0.23,0.322,0.412,0.317,0.345,103,2,4,20.8,4.2,12916,"NYM",125,524,20,73,63,10,11.1,18.3,0.181,0.248,0.23,0.322,0.412,0.317,0.345,103,2,4,20.8,4.2,12916
"15","Bogaerts","Xander",593428,111,"BOS","SS",28,221,4.29,27.7,"Red Sox","SS",-7,-10,0,-8,-1,0,-8,-1,"71%","73%","-2%",423,12.5,36.4,113.6,89.6,93.7,86.4,446,168,402,182,43,41,9.7,6.8,2021,603,423,0.295,0.28,0.015,0.493,0.468,0.025,0.368,0.359,0.009,"Xander Bogaerts","BOS",144,603,23,90,79,5,10.3,18.7,0.198,0.333,0.295,0.37,0.493,0.368,0.359,130,1.2,23.7,-0.3,4.4,12161,"BOS",144,603,23,90,79,5,10.3,18.7,0.198,0.333,0.295,0.37,0.493,0.368,0.359,130,1.2,23.7,-0.3,4.4,12161
"16","Gregorius","Didi",544369,143,"PHI","SS",31,120,4.38,27.7,"Phillies","SS",-12,-16,-6,-2,-7,0,-10,-6,"71%","75%","-4%",308,18.3,32.1,107.6,86.1,88.8,85.8,438,166,389,82,26.6,7,2.3,1.7,2021,408,308,0.209,0.225,-0.016,0.37,0.329,0.041,0.275,0.275,0,"Didi Gregorius","PHI",103,408,13,35,54,3,6.1,16.4,0.16,0.217,0.209,0.27,0.37,0.275,0.275,68,1.5,-14.9,-7.5,-0.9,6012,"PHI",103,408,13,35,54,3,6.1,16.4,0.16,0.217,0.209,0.27,0.37,0.275,0.275,68,1.5,-14.9,-7.5,-0.9,6012
"17","DeJong","Paul",657557,138,"STL","SS",27,111,4.5,27.5,"Cardinals","SS",3,4,8,-3,-1,0,4,0,"81%","80%","1%",255,16.4,33.3,109.5,86.3,93.5,79,431,182,400,90,35.3,27,10.6,6.7,2021,402,255,0.197,0.211,-0.014,0.39,0.416,-0.026,0.293,0.312,-0.019,"Paul DeJong","STL",113,402,19,44,45,4,8.7,25.6,0.194,0.216,0.197,0.284,0.39,0.293,0.312,86,0.5,-6.8,7.5,1.4,18015,"STL",113,402,19,44,45,4,8.7,25.6,0.194,0.216,0.197,0.284,0.39,0.293,0.312,86,0.5,-6.8,7.5,1.4,18015
"18","Crawford","J.P.",641487,136,"SEA","SS",26,243,4.41,27.5,"Mariners","SS",1,1,4,-3,0,0,4,-3,"75%","75%","0%",510,9.8,34.1,110.5,86.3,88.3,86.4,430,146,383,156,30.6,12,2.4,1.7,2021,687,510,0.273,0.257,0.016,0.376,0.339,0.037,0.314,0.298,0.016,"J.P. Crawford","SEA",160,687,9,89,54,3,8.4,16.6,0.103,0.32,0.273,0.338,0.376,0.314,0.298,103,-2.7,-0.2,9.5,3.3,15491,"SEA",160,687,9,89,54,3,8.4,16.6,0.103,0.32,0.273,0.338,0.376,0.314,0.298,103,-2.7,-0.2,9.5,3.3,15491
"19","Escobar","Alcides",444876,120,"WSH","SS",34,127,4.37,27.4,"Nationals","SS",-3,-4,1,-4,-1,1,0,-4,"69%","70%","-1%",267,11.1,36.3,105.7,81.7,85.9,77.8,410,145,400,56,21,8,3,2.3,2021,349,267,0.288,0.271,0.017,0.404,0.362,0.042,0.325,0.309,0.016,"Alcides Escobar","WSN",75,349,4,53,28,3,4.9,16,0.116,0.337,0.288,0.34,0.404,0.325,0.309,100,2.4,2.6,0.6,1.5,6310,"WSN",75,349,4,53,28,3,4.9,16,0.116,0.337,0.288,0.34,0.404,0.325,0.309,100,2.4,2.6,0.6,1.5,6310
"20","Farmer","Kyle",571657,113,"CIN","SS",30,162,4.51,27,"Reds","SS",1,2,3,6,-6,0,2,0,"73%","73%","0%",392,15.8,36,107.6,87.2,92,83.5,424,168,394,125,31.9,17,4.3,3.2,2021,529,392,0.263,0.252,0.011,0.416,0.383,0.033,0.316,0.302,0.014,"Kyle Farmer","CIN",147,529,16,60,63,2,4.2,18.3,0.153,0.296,0.263,0.316,0.416,0.316,0.302,91,-1.5,-7.2,9.1,2,14813,"CIN",147,529,16,60,63,2,4.2,18.3,0.153,0.296,0.263,0.316,0.416,0.316,0.302,91,-1.5,-7.2,9.1,2,14813
